wallet,risk_level,risk_score,bot_score,bot_classification,bot_confidence,is_wash_trading,wash_trading_flags,wash_flag_count,combined_threat
49E57yHPrZkswz8WPZM3bzDAdnDMeF862uJwzSrWeEDE,HIGH,65.5,0.31,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
CX9yaoQw5YfpLH7Lamm5p2395ssKH2k3Gv8JDHL1vKM9,HIGH,64.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,circular_patterns,volume_concentration",4,HIGH
EcYvkPYgTamFn9X5PS6mR7jKvUDnaM1Fgef75xKSzVXK,HIGH,64.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
AjwhgcMpFXbqAuq6bafQjQU4pZ1URwXncv8CG8p7TQ1V,HIGH,63.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,circular_patterns,volume_concentration",5,HIGH
5kHFC6PpvZAEkDYiRdPbASgkCrxXmUcQg3ffVLCRc1Z8,HIGH,63.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,circular_patterns",4,HIGH
B4zFz9xh6z9Lh6A36Ftu1iVBkJxNx7e8YXNiU1jpXJi4,HIGH,63.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
6M29vT5tHtUA52gkTSGZzbuKza381EA4S3C68LnqYqR5,HIGH,63.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
DNVdvF5vv7P8fB54e2NynSibti1wD7tk4EvL3L4mm39C,HIGH,63.5,0.37,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
3Xmnbvn8jjz6gQ2ePcChEaELYE56mEW3WBTzLN88Y1QL,HIGH,63.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
6hyvVS5shU6cFmqiKg5wUJcwdH2tWWBgwoGYu3DFbMHg,HIGH,63.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
DKCBVPrQveWPotYX6L7z2QCvm2DEBW6ZXsYGmYZiqSCf,HIGH,63.5,0.37,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
5QNqGvoxULkKB9Xe3tqDp6sGWp4VnALymgvoJJzK4NGo,HIGH,63.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
9zrhEqriQEu73d4C1ytf2wncEyZZxTtcn5MgsLaX2r8P,HIGH,63.5,0.37,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
7dCRvvfwNutphV8tqNwmn7pSWFG7qpa66CEn9ynSpP8w,HIGH,60.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
8q8t9JB5xDyHR8YAqX3fvD4AEoyD2XVMhKrRhKNtjijv,HIGH,60.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
2i2pqY5eoHkoSiorPU8TGsgYLfZH5GvynqsyGRDzDYcV,HIGH,60.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
7br9E7mh9ficpQ4ro6jSv2Ag4hwTwamGLq3kyrLh6ohu,HIGH,60.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
AmsZpBbBsm2zbRFpc3b6gUs9TQ4gXVhTVb5zGJGvFQbU,HIGH,60.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs,volume_concentration",4,HIGH
HwF9211yQZtPczhCapLqFHQREDPeEzDWrgAL2eURWcYk,HIGH,59.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
9FUN4P5bov5jSpHJhuLYDkSdHAPrAnE78DR6KbU4wdaW,HIGH,59.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
CFf62BDJuc8dhQ4mMVdNLwZwiGTapSYQ5z3X8xr4LmY9,HIGH,59.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
9i9HDYwK57DJWrMVhBxSUQNRjDCFffmttw2LyF4oujZC,HIGH,59.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
5m5FtsZyyXL5GusTxx2pYjTxYFiR1zCy6jMkBnMQU7EN,HIGH,59.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
29gVLfks21LAqZaJ9naiTQy9P6ybBvLW2XrshXESg7Cy,HIGH,59.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
Fq5JoJ6TwHwcVoCVZv34iYBSUcsazVBp7nuBwjJo1pUR,HIGH,59.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
GfrgQWgdA2J4tN19u6Cwd1F7GyYkbjGKwUfWyQJSgQSU,HIGH,59.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
FmPgfNXwN31BTgryUWe9RKUJCQDXjmppMgqmdFYELrog,HIGH,59.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
Arc4ACw1FEvbaw2vsTngT5mxtE211P9b4DT4xsdD8aUY,HIGH,58.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
99uk1Wt3Ed7m8YhbyUwJhLpyWSSu6y6GrChBcqPB1ZwE,HIGH,58.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
4cro8bLPZUo6DtaEZQLcmwmJfkUWHjHHdLDCkqwmqJCR,HIGH,58.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
H3dzcHK6ocjZRHFVEz6Zpc6kbK3UH17NaehKwG86fvNX,HIGH,58.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
4qugb6ndWoEjqAKzGbGhgwtgJmbY3gRmPmfsc5bJJxrt,HIGH,58.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
ATjCEJo84U2HLUWMLMRAM59JHpf4T3zBf974TCFBRWB5,HIGH,58.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
HFrjo7evmZxJ7aBrYzVoomprYyaAcRHMdwHd5tyrqiJ,HIGH,58.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
6XKWngXXZd8pdRB8qEVh2NNc3q9QjuxAGUyVhH4vXSSd,HIGH,58.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
G4wLSGrU9EtYK7UmwNzS7ku1iKnSpNJvxPGFDazjusfX,HIGH,58.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
51fhgUZoGjMWLZs6CN1PiFDzpxLHD7yVapov4beQUckz,HIGH,58.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
ETp6Bv6JaGG3vWm6Wgstm2W47NzPZKDGZEAdn5P1pFR2,HIGH,58.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
32tc6Ypt6K8aeNFbPKesyig4UxmfvTuXbxi6RGnofQwr,HIGH,58.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
9BrHN7cfjLzvGJsGkLHy89gxu4jxELNa6KqEZ5tBNT4F,HIGH,58.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
9uTKT96PWUC1f9XcXYNFTUJi9NsGcFTDiPeXDgvZ3Gqw,HIGH,58.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
12JGcFAWj3Ruxnv97Sfcy4GDytjuizAPKyNx2EFfRafQ,HIGH,58.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
2M78RpsVYtqm1G5DgkvuBVu8nbmbKnARCSSKct5M7TFb,HIGH,58.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
3QEmytRpngHgbco3HuZKsBa85Y4ffBzYy6YLeZw2umqS,HIGH,58.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
BodcopG1PYKtwhSDZy1Mm1GSbePz1qMou8RaDu64UkWb,HIGH,58.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
8dovvw3MudXnXFZFfBar2GZMeqmo2pRdQFPEfci1NZLT,HIGH,55.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
Huqp3NwsvLR7hKC2Vvgus5aVYHYKe1ReRFZYoCHoSPkF,HIGH,55.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
5VuBttvjzgpF1c7KHtG6R4ibvTLB7FS9hGgajbC7dfoF,HIGH,55.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
6Sjw3Q6N39JanHzrr23SYAhuid7QxzDFQpE7jfzwxf7H,HIGH,55.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
E2vqiyfxr3adNLLPeSY6ScdDHU8LyFCg9sHoQtYAQsDw,HIGH,55.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
2Gzc1nYRsC3FLzuSb2aA1p7Y2y2caFgQhwKtZpN3Cxfn,HIGH,55.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
2GJrG2suLx3rcPbR9KSn4ETV9MPNQccwvs7J3PkEKZQv,HIGH,55.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
4qVr8knLKd4JLzdJ8XENaAABTopHVf3uest8kCuTWgK2,HIGH,55.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
7Q7toy3S5PjcGEk2pvuXSp4k8ApkCTQkL6Wqr2GKgNNf,HIGH,55.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
DWRFK9HsuFh8KAzx6U1iC3CYy8GuoxHUWUrY3NCyS1Rw,HIGH,55.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
A3AAJvYUg1n9bjH4SoaAJaafUApdCzTHwaP3SpC7fvLj,HIGH,55.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
HnwYnEzxApWceGdNSM5VA9jAdmsND8uumsBEYEFymgAR,HIGH,55.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
AJosrJETCn999PDB1z3uRxXt3K8uxpgA3ENaDNPaCnrJ,HIGH,55.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
Fkwf47FYnKwhVzUMUE4akHAFQX9sEqy5KqSgTMkJhbnv,HIGH,55.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
9qSNjEeDTFwUbUBqyuScXoRH68ZCW8sprcAEt1Jjx68i,HIGH,55.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
6VKVCekpzwr5tHqhALvTtYnHDsbm9CQoDZTfv8BWqVqD,HIGH,55.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
9TrpzYE72rWPsdebzPfefCow6vWxqHMtDaURM8R7jVF7,HIGH,55.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
6AnZkPVzhjsa32Uy6munsxp8tudjWnbZ2RANm7EeuYNV,HIGH,55.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
CMocbKMJEZ3jJp1VBN9ZL19wNe1rHKeTizRTx3RUvTLQ,MEDIUM,49.5,0.38999999999999996,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
BZaieJDF9ES3fddn32n4HqY4bMvbxSxYy8Qdz9v1itSd,MEDIUM,48.5,0.37,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
2xs1wHeVF2B31vbmDoQ3ALZdAFxgnY1eYAFRKnhupnh9,MEDIUM,47.5,0.05,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
73dNwo6Coq2sjXdhW2ck9oky2tzSCMSTEU8SCzkKAuWk,MEDIUM,47.5,0.05,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
5aQc8JNCrXeMnkeBu7rtWudJu8X83xfWPU7baEND4DKN,MEDIUM,47.5,0.05,HUMAN,LOW,True,"self_transfers,rapid_roundtrips,high_frequency_pairs",3,HIGH
2JniwPvuUzdssEDMvsX2GSBL82LvFadPwBhr8Tmxj4uJ,MEDIUM,45.5,0.31,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
3H6sS7tYGxFtXppToKekx2nWLuRePpJdsttavZfL3cAz,MEDIUM,45.5,0.31,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
4sLmGN3xSBNKuLsv8iAzQ5Uzy4hsAYC4uCezcP2hA7Ny,MEDIUM,45.5,0.31,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
9gcYBpao4aT4KZ6JS4vqm6r3JbrXecTFTM6Nue5UEHsc,MEDIUM,44.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
BPnYYYfLKjkMfDELxKfm2Mo4KRP6xSyoGoQi2kabGvT9,MEDIUM,44.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
HrKcB49cAQHEAuWbVvwSNNFK99NpywbcfE568a4SyPUV,MEDIUM,44.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
5DwDFwKNB6eUXhLTKqx799Pr9BPTDDFeSD1Hadj4Ckwf,MEDIUM,44.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
7zw6nRhFqMj8uAvFqoTnCJi8ZPTJqWJJxpMvzk5AZpwW,MEDIUM,44.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
8SFs9gW86nzxFmpf6PAx5iwSLBsVT4HV1GrmLZVNYKpm,MEDIUM,44.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
D5kDb4JAp1VjyoTahvU2uoMb5xFJcVroTvuuTJ8NjxcK,MEDIUM,44.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
9roW5TTTpoV1GPN9tZPBfSNHPEfC6SHTxHhHFjAck7BT,MEDIUM,44.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
NjGjv892W23KEkF9TdUSzYPeEfSMEQBXVkCAWxiWata,MEDIUM,44.5,0.29,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
7ngDmr3WF1FesLnKdWQFZbZaxcEcdVk5YVKR6z5aV1GK,MEDIUM,43.5,0.27,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
7XjpQTwpaQbR4x7UHA9PCNmJqdhpd1o91U821msvtSFc,MEDIUM,43.5,0.27,HUMAN,LOW,True,"circular_patterns,volume_concentration",2,HIGH
9AxAnZhDLWaDayPEYd4PAuLCtVh8U5ew6Uwz2cvnF9vn,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
31SSY5Cy7Ba7qLc2gYSp8ZGY6NEj2X5T1Kpi99B4Ljij,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
FDsbrW1HcfmCZdKqfUEvHD4QSeoAjphe1TCAS5NDS18k,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
CECA7nkFAqhXnLDdFUWLWLAPwUvyxyFpKpSmrJijHjcQ,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
9wq4zKQSNzWoxNninp91knbbfZD9c1QyEgxGj59KUNR6,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
3SKcCo3gT61pULUUj1g73JHctrF7eMF4XAYvVaffQYML,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
7cz2M72acYWF9iisYGr3fhRxuQm78BropXN5Z94cGGvy,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
EeW7nTMNqGZP7RT2UoKPGf18yPM3vJy521SC6FyDynFi,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
H4zUw9kSsWGTNjbwkPNbmGJd4ro8Wsqu3xfjnEABH4cg,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
HH59nJrXCYPRNiwrfR2N3dgX6t4j4vv9irCGaRqV6a5J,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
7wiJ5zm1wouLz88zM6BzCFLiJMg6uqnHqbARYxJNiPzo,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
2xiEaiP7t5q4jjyHwpQ2ndRHesBcwPuP6AJw7CSUDER8,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
FhSNwBCcz3td7dkFQ78HaRKqC7qUpQYZQAND7JrLhYbM,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
Fi6DwpSDuN3ndFiDjSJJdJaCnABrSzbPcL7jYHqAWpxw,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
8H1eyvTpptP2QKH7D6bzMnu4PXYNEguFWQLpjNcd5DDz,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
378JtaroydvcdBt5tAy6LuhkoF1X9A4WcuJnWr96zxdS,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
J2QURmDeQsJQnhXfdrAxCXGsZDKSobvNLqXNTd2L6SzM,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
DPnAEaVrHVDh1PT92SwHQsRRpUVdh9A5fVEje9BeJGGo,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
GTgSHGKMSLHi58XxTfDv2sf7DnLGwMoRWJNKyRHWdd3i,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
GtN2Vmt6gYzzEd9YpeAa58KSC9TiGqF333KDxq4dxF92,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
CDmcTM77SVKLN3ANy7Z7bKbePX6EHD6u13cePmbDoL9A,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
2G6UCfjgzWaxo4rqPnVeYgbKpCbH8ajwDPLWRGeThWNZ,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
Frv8UCNDvnYtvTEXPDPYGRa8x2qV6q4bPm6vnBCycMVQ,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
6qKz8ciKr3Arngjabaiccpj8LRSnuspzW1nbcuCLz2ND,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
zyzwgohgMciFiDiiwv13cMAykgrdjsDYj3M1Eq2fups,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
J5ECbPQR6iUUxgZXVG4H9BLzfL8BzaHAxU2r2AgoSHJs,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
7bFw6vscMCq2PCLqP14YrqVRL2b5YfeRKsdQeyGuYpzo,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
4vTiDGRzwKXivacNBYFCRWN6DRheSDta4UHZNVnhE8xr,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
6cDu52TbcdLQMmqVvNxBJ767rwRhhBtjSHoQbUWeYwwZ,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
9hF438BMsxkazAM58TQ5JQYkjM37F1n4tUWzXkErFzRs,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
FjWBEvuu76yiGipg1DvGdve22UiqSatEfUTyEoRvDUtW,MEDIUM,40.5,0.21000000000000002,HUMAN,LOW,True,"self_transfers,rapid_roundtrips",2,HIGH
